study_period,subject,femaleID,kin
m19,Kun,Kur,0.5
m19,Kun,Mal,0
m19,Kun,Mei,0
m19,Kun,Mif,0
m19,Kun,Mik,0
m19,Kun,Ntm,0
m19,Kun,Ntr,0
m19,Kun,Tam,0
m19,Kun,Ten,0
m19,Kun,Tot,0
m19,Kun,Trt,0
m19,Kur,Aka,0
m19,Kur,Ako,0
m19,Kur,Anz,0
m19,Kur,Coc,0.125
m19,Kur,Har,0
m19,Kur,Hen,0
m19,Kur,Hot,0
m19,Kur,Kil,0.25
m19,Kur,Kit,0.125
m19,Kur,Koh,0.25
m19,Kur,Kol,0.5
m19,Kur,Kun,0.5
m19,Kur,Mal,0
m19,Kur,Mei,0
m19,Kur,Mif,0
m19,Kur,Mik,0
m19,Kur,Ntm,0
m19,Kur,Ntr,0
m19,Kur,Tam,0
m19,Kur,Ten,0
m19,Kur,Tot,0
m19,Kur,Trt,0
m19,Mal,Aka,0
m19,Mal,Ako,0
m19,Mal,Anz,0
m19,Mal,Coc,0
m19,Mal,Har,0
m19,Mal,Hen,0
m19,Mal,Hot,0
m19,Mal,Kil,0
m19,Mal,Kit,0
m19,Mal,Koh,0
m19,Mal,Kol,0
m19,Mal,Kun,0
m19,Mal,Kur,0
m19,Mal,Mei,0.125
m19,Mal,Mif,0.25
m19,Mal,Mik,0.5
m19,Mal,Ntm,0
m19,Mal,Ntr,0
m19,Mal,Tam,0
m19,Mal,Ten,0
m19,Mal,Tot,0
m19,Mal,Trt,0
m19,Mei,Aka,0
m19,Mei,Ako,0
m19,Mei,Anz,0
m19,Mei,Coc,0
m19,Mei,Har,0
m19,Mei,Hen,0
m19,Mei,Hot,0
m19,Mei,Kil,0
m19,Mei,Kit,0
m19,Mei,Koh,0
m19,Mei,Kol,0
m19,Mei,Kun,0
m19,Mei,Kur,0
m19,Mei,Mal,0.125
m19,Mei,Mif,0.125
m19,Mei,Mik,0.25
m19,Mei,Ntm,0
m19,Mei,Ntr,0
m19,Mei,Tam,0
m19,Mei,Ten,0
m19,Mei,Tot,0
m19,Mei,Trt,0
m19,Mif,Aka,0
m19,Mif,Ako,0
m19,Mif,Anz,0
m19,Mif,Coc,0
m19,Mif,Har,0
m19,Mif,Hen,0
m19,Mif,Hot,0
m19,Mif,Kil,0
m19,Mif,Kit,0
m19,Mif,Koh,0
m19,Mif,Kol,0
m19,Mif,Kun,0
m19,Mif,Kur,0
m19,Mif,Mal,0.25
m19,Mif,Mei,0.125
m19,Mif,Mik,0.5
m19,Mif,Ntm,0
m19,Mif,Ntr,0
m19,Mif,Tam,0
m19,Mif,Ten,0
m19,Mif,Tot,0
m19,Mif,Trt,0
m19,Mik,Aka,0
m19,Mik,Ako,0
m19,Mik,Anz,0
m19,Mik,Coc,0
m19,Mik,Har,0
m19,Mik,Hen,0
m19,Mik,Hot,0
m19,Mik,Kil,0
m19,Mik,Kit,0
m19,Mik,Koh,0
m19,Mik,Kol,0
m19,Mik,Kun,0
m19,Mik,Kur,0
m19,Mik,Mal,0.5
m19,Mik,Mei,0.25
m19,Mik,Mif,0.5
m19,Mik,Ntm,0
m19,Mik,Ntr,0
m19,Mik,Tam,0
m19,Mik,Ten,0
m19,Mik,Tot,0
m19,Mik,Trt,0
m19,Ntr,Aka,0
m19,Ntr,Ako,0
m19,Ntr,Anz,0
m19,Ntr,Coc,0
m19,Ntr,Har,0
m19,Ntr,Hen,0
m19,Ntr,Hot,0
m19,Ntr,Kil,0
m19,Ntr,Kit,0
m19,Ntr,Koh,0
m19,Ntr,Kol,0
m19,Ntr,Kun,0
m19,Ntr,Kur,0
m19,Ntr,Mal,0
m19,Ntr,Mei,0
m19,Ntr,Mif,0
m19,Ntr,Mik,0
m19,Ntr,Ntm,0.5
m19,Ntr,Tam,0
m19,Ntr,Ten,0
